1,14.02.2013,1075758,514807,NASCOP,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,20
2,21.02.2013,1077488,514914,EDARP,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,565
3,22.02.2013,1077596,514943,TUUNGANE-NYANDO,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,53
4,22.02.2013,1077604,514944,ST VINCENT MUHORONI,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,285
5,22.02.2013,1077612,514945,AMBIRA HEALTH CENTRE,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,60
6,22.02.2013,1077618,514946,TUUNGANE-BONDO,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,30
7,22.02.2013,1077622,514947,TUUNGANE-RARIENDA,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,54
8,22.02.2013,1077628,514948,KISUMU EAST FORT,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,45
9,22.02.2013,1077630,514949,NDHIWA DH,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,94
10,22.02.2013,1077632,514950,TUUNGANE-MIGORI,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,10
11,22.02.2013,1077590,514951,TUUNGANE-NYATIKE,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,6
12,22.02.2013,1077614,514952,TUUNGANE-NYAWARA,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,60
13,22.02.2013,1077586,514953,TUUNGANE-HOMABAY,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,122
14,22.02.2013,1077582,514954,TUUNGANE-RONGO,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,92
15,25.02.2013,1077896,514968,HURLINGHAM VCT,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,100
16,26.02.2013,1077908,514969,RIBEIRO (FHOK),TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,6
17,26.02.2013,1078256,514970,LIVERPOOL ,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,271
18,26.02.2013,1078206,514971,POOLE,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,2
19,26.02.2013,1078186,514972,G.K PRISONS,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,3
20,26.02.2013,1078182,514973,MURKWIJII,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,3
21,26.02.2013,1078180,514974,KAIBOS,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,3
22,26.02.2013,1078168,514975,CHEPTURNGUNY,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,2
23,26.02.2013,1078166,514976,YWALATEKA,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,2
24,26.02.2013,1078266,514977,DISC- THIKA,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,7
25,26.02.2013,1078268,514978,SIAKAGO DH,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,20
26,26.02.2013,1078164,514979,PSERUM,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,2
27,26.02.2013,1077676,514980,MAUYANCA,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,4
28,26.02.2013,1077918,514981,DAGAHALEY,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,70
29,26.02.2013,1077698,514982,MUKURU,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,40
30,26.02.2013,1077700,514983,EMMANUEL MEDICAL CLINIC,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,6
31,26.02.2013,1077714,514984,INTER MEDICAL CLINIC,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,30
32,26.02.2013,1077744,514985,KENWA KASARANI,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,50
33,26.02.2013,1077748,514986,NURU RUTHERAN,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,5
34,26.02.2013,1077808,514987,NACHECHEYET DISPENSARY,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,3
35,27.02.2013,1077846,514989,BWENA CLINIC,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,3
36,27.02.2013,1077852,514990,BAHATI CLINIC,TEST KIT HIV DETERMINE  1/2,KIT X 100 TESTS,2
