Rift Valley,Baringo,Kituro Health Centre,1,Rapid HIV 1+ 2 Test Kit  (Unigold),20,0,3,0,0,0,17,17,20
Rift Valley,Baringo,Kituro Health Centre,2,Rapid HIV 1+2 Test Kit (Determine),100,0,11,0,0,0,89,89,100
Rift Valley,Baringo,Talai Dispensary,1,Rapid HIV 1+ 2 Test Kit  (Unigold),32,0,0,0,0,0,32,32,0
Rift Valley,Baringo,Talai Dispensary,2,Rapid HIV 1+2 Test Kit (Determine),8,0,3,0,0,0,5,5,100
Rift Valley,Baringo,Timboiywo Dispensary,1,Rapid HIV 1+ 2 Test Kit  (Unigold),7,0,5,0,0,0,2,2,0
Rift Valley,Baringo,Timboiywo Dispensary,2,Rapid HIV 1+2 Test Kit (Determine),109,0,25,0,0,0,84,84,0
Rift Valley,Baringo,Tebei Dispensary,1,Rapid HIV 1+2 Test Kit (Determine),170,0,3,0,0,0,167,167,100
Rift Valley,Baringo,Riwo Community Dispensary,1,Rapid HIV 1+ 2 Test Kit  (Unigold),14,0,2,0,0,0,12,12,0
Rift Valley,Baringo,Riwo Community Dispensary,2,Rapid HIV 1+2 Test Kit (Determine),263,0,7,0,0,0,256,256,0
Rift Valley,Baringo,Kapkelelwa Dispensary,1,Rapid HIV 1+ 2 Test Kit  (Unigold),15,0,10,0,0,0,5,5,20
Rift Valley,Baringo,Kapkelelwa Dispensary,2,Rapid HIV 1+2 Test Kit (Determine),342,0,0,0,0,0,342,342,100
Rift Valley,Baringo,Mogorwa Health Centre,1,Rapid HIV 1+ 2 Test Kit  (Unigold),0,0,0,0,0,0,0,0,50
Rift Valley,Baringo,Mogorwa Health Centre,2,Rapid HIV 1+2 Test Kit (Determine),44,0,44,0,0,0,0,0,100
Western,Bungoma East,Webuye District Hospital - Bungoma East,1,Rapid HIV 1+ 2 Test Kit  (Unigold),483,0,33,0,20,0,428,470,0
Western,Bungoma East,Webuye District Hospital - Bungoma East,2,Rapid HIV 1+2 Test Kit (Determine),"3,514",0,"1,698",0,-500,0,716,"1,316","8,000"
Western,Bungoma East,Friends Lugulu Mission Hospital,1,Rapid HIV 1+ 2 Test Kit  (Unigold),165,0,23,0,-20,0,122,122,0
Western,Bungoma East,Friends Lugulu Mission Hospital,2,Rapid HIV 1+2 Test Kit (Determine),615,0,545,0,100,0,170,170,"1,000"
Western,Bungoma East,Emmanuel Medical Clinic,1,Rapid HIV 1+ 2 Test Kit  (Unigold),4,0,1,0,0,0,3,3,20
